customer_id,first_name,last_name,email,phone,lifecycle_stage,customer_status,total_revenue,region,signup_date,last_purchase_date,total_orders,average_order_value,source
CUST_0001,Lisa,Williams,lisa.williams@gmail.com,+1-896-710-3469,Customer,Active,182.83,North America,2024-01-16 16:50:40.206011,2025-11-30 16:50:40.206020,8,26.12,Mock Data
CUST_0002,Sarah,Williams,sarah.williams@outlook.com,+1-804-717-9235,Customer,Prospect,58.22,Europe,2024-03-17 16:50:40.206103,2025-07-14 16:50:40.206107,4,14.56,Mock Data
CUST_0003,Robert,Miller,robert.miller@hotmail.com,+1-577-255-7423,Sales Qualified Lead,Churned,311.0,Middle East & Africa,2025-04-07 16:50:40.206172,2025-06-29 16:50:40.206175,3,34.56,Mock Data
CUST_0004,Maria,Davis,maria.davis@outlook.com,+1-237-117-8482,Lead,Active,4.75,Europe,2024-01-04 16:50:40.206235,2025-11-05 16:50:40.206238,5,0.48,Mock Data
CUST_0005,David,Brown,david.brown@yahoo.com,+1-543-881-8419,Customer,Active,182.1,Latin America,2024-06-22 16:50:40.206297,2025-06-26 16:50:40.206300,2,20.23,Mock Data
CUST_0006,Sarah,Williams,sarah.williams@gmail.com,+1-535-657-6987,Customer,Inactive,30.65,North America,2024-03-02 16:50:40.206359,2025-11-28 16:50:40.206362,9,5.11,Mock Data
CUST_0007,Chris,Williams,chris.williams@company.com,+1-541-153-9519,Customer,Prospect,37.44,North America,2024-10-08 16:50:40.206419,2025-06-26 16:50:40.206422,7,3.12,Mock Data
CUST_0008,Maria,Rodriguez,maria.rodriguez@outlook.com,+1-398-250-1749,Sales Qualified Lead,Inactive,44.73,Latin America,2025-11-03 16:50:40.206478,2025-06-28 16:50:40.206483,6,6.39,Mock Data
CUST_0009,Lisa,Rodriguez,lisa.rodriguez@outlook.com,+1-620-316-8257,Evangelist,Active,4472.57,Asia Pacific,2025-07-11 16:50:40.206540,2025-09-02 16:50:40.206543,5,2236.28,Mock Data
CUST_0010,Maria,Davis,maria.davis@hotmail.com,+1-932-475-1927,Lead,Active,141.94,Middle East & Africa,2024-06-24 16:50:40.206601,2025-09-16 16:50:40.206603,8,35.49,Mock Data
CUST_0011,Maria,Garcia,maria.garcia@hotmail.com,+1-968-580-5660,Lead,Active,18.38,Asia Pacific,2024-09-13 16:50:40.206659,2025-11-11 16:50:40.206662,8,4.6,Mock Data
CUST_0012,John,Smith,john.smith@hotmail.com,+1-540-682-3609,Evangelist,Active,6879.46,North America,2023-12-22 16:50:40.206719,2025-06-25 16:50:40.206722,6,1719.87,Mock Data
CUST_0013,Sarah,Brown,sarah.brown@hotmail.com,+1-558-242-4809,Marketing Qualified Lead,Prospect,0.73,Middle East & Africa,2024-07-04 16:50:40.206779,2025-07-30 16:50:40.206781,6,0.36,Mock Data
CUST_0014,Chris,Miller,chris.miller@yahoo.com,+1-457-567-2436,Lead,Active,9.83,North America,2024-04-23 16:50:40.206837,2025-09-22 16:50:40.206839,6,2.46,Mock Data
CUST_0015,Emma,Rodriguez,emma.rodriguez@outlook.com,+1-276-845-1330,Lead,Inactive,276.16,Middle East & Africa,2025-04-25 16:50:40.206896,2025-09-16 16:50:40.206899,7,25.11,Mock Data
CUST_0016,Chris,Williams,chris.williams@hotmail.com,+1-610-213-9492,Sales Qualified Lead,Active,13.76,Latin America,2024-08-08 16:50:40.206954,2025-10-13 16:50:40.206957,5,2.29,Mock Data
CUST_0017,David,Rodriguez,david.rodriguez@yahoo.com,+1-703-790-1208,Customer,Active,156.09,Middle East & Africa,2025-04-17 16:50:40.207013,2025-10-19 16:50:40.207016,4,39.02,Mock Data
CUST_0018,David,Martinez,david.martinez@hotmail.com,+1-789-592-8852,Customer,Active,60.45,North America,2025-06-16 16:50:40.207075,2025-06-29 16:50:40.207078,5,8.64,Mock Data
CUST_0019,Sarah,Martinez,sarah.martinez@hotmail.com,+1-592-328-8208,Lead,Active,356.86,Latin America,2025-05-29 16:50:40.207134,2025-07-14 16:50:40.207137,4,71.37,Mock Data
CUST_0020,Lisa,Smith,lisa.smith@yahoo.com,+1-318-929-9901,Lead,Active,279.41,Middle East & Africa,2024-03-07 16:50:40.207194,2025-08-26 16:50:40.207197,4,69.85,Mock Data
CUST_0021,Jane,Martinez,jane.martinez@gmail.com,+1-489-457-9011,Lead,Active,4.41,Europe,2024-07-23 16:50:40.207252,2025-06-29 16:50:40.207255,6,0.49,Mock Data
CUST_0022,David,Miller,david.miller@hotmail.com,+1-812-799-3379,Customer,Active,10311.57,Latin America,2025-05-22 16:50:40.207311,2025-11-08 16:50:40.207314,4,1288.95,Mock Data
CUST_0023,Lisa,Smith,lisa.smith@company.com,+1-676-607-2897,Lead,Active,413.97,Europe,2024-11-23 16:50:40.207369,2025-12-08 16:50:40.207372,4,82.79,Mock Data
CUST_0024,Michael,Rodriguez,michael.rodriguez@yahoo.com,+1-741-681-5968,Customer,Active,150.64,Middle East & Africa,2025-09-10 16:50:40.207445,2025-11-19 16:50:40.207448,7,30.13,Mock Data
CUST_0025,Emma,Jones,emma.jones@gmail.com,+1-251-747-1928,Sales Qualified Lead,Churned,15.22,Europe,2025-09-11 16:50:40.207558,2025-10-09 16:50:40.207562,5,1.9,Mock Data
CUST_0026,Sarah,Jones,sarah.jones@outlook.com,+1-243-986-4710,Lead,Active,231.24,Asia Pacific,2024-03-23 16:50:40.207625,2025-11-03 16:50:40.207629,5,28.91,Mock Data
CUST_0027,Sarah,Davis,sarah.davis@yahoo.com,+1-349-760-2995,Customer,Active,213.36,North America,2024-03-16 16:50:40.207691,2025-06-26 16:50:40.207694,8,42.67,Mock Data
CUST_0028,Maria,Garcia,maria.garcia@gmail.com,+1-595-844-6811,Marketing Qualified Lead,Inactive,29.42,North America,2025-03-09 16:50:40.207754,2025-08-21 16:50:40.207757,2,2.67,Mock Data
CUST_0029,Lisa,Johnson,lisa.johnson@company.com,+1-355-483-5053,Customer,Prospect,92.07,Europe,2024-06-05 16:50:40.207816,2025-08-23 16:50:40.207819,6,18.41,Mock Data
CUST_0030,Jane,Jones,jane.jones@hotmail.com,+1-715-338-4584,Sales Qualified Lead,Active,59.4,Asia Pacific,2025-02-27 16:50:40.207880,2025-10-26 16:50:40.207883,6,9.9,Mock Data
CUST_0031,Michael,Williams,michael.williams@company.com,+1-225-541-8752,Sales Qualified Lead,Active,4153.03,Asia Pacific,2024-01-21 16:50:40.207943,2025-09-29 16:50:40.207946,6,830.61,Mock Data
CUST_0032,Chris,Martinez,chris.martinez@hotmail.com,+1-630-527-9126,Marketing Qualified Lead,Inactive,1980.83,North America,2025-02-26 16:50:40.208007,2025-07-20 16:50:40.208010,6,495.21,Mock Data
CUST_0033,David,Miller,david.miller@yahoo.com,+1-333-934-2990,Customer,Prospect,1943.54,Middle East & Africa,2025-09-15 16:50:40.208072,2025-11-17 16:50:40.208076,5,242.94,Mock Data
CUST_0034,Emma,Williams,emma.williams@yahoo.com,+1-401-590-6588,Marketing Qualified Lead,Prospect,129.51,Europe,2025-02-12 16:50:40.208138,2025-07-10 16:50:40.208141,3,25.9,Mock Data
CUST_0035,Lisa,Rodriguez,lisa.rodriguez@yahoo.com,+1-743-499-5068,Customer,Active,112.19,Europe,2024-01-20 16:50:40.208201,2025-11-15 16:50:40.208204,8,18.7,Mock Data
CUST_0036,John,Brown,john.brown@company.com,+1-871-533-2912,Marketing Qualified Lead,Prospect,16.9,Europe,2025-01-11 16:50:40.208263,2025-09-01 16:50:40.208267,6,4.23,Mock Data
CUST_0037,Chris,Jones,chris.jones@hotmail.com,+1-924-140-5494,Lead,Active,23.82,Middle East & Africa,2024-02-17 16:50:40.208327,2025-10-25 16:50:40.208330,12,2.98,Mock Data
CUST_0038,Michael,Davis,michael.davis@hotmail.com,+1-751-931-9658,Marketing Qualified Lead,Active,37.33,Europe,2025-07-11 16:50:40.208388,2025-09-30 16:50:40.208391,9,6.22,Mock Data
CUST_0039,Maria,Miller,maria.miller@outlook.com,+1-590-668-6652,Marketing Qualified Lead,Active,55.01,Latin America,2024-01-23 16:50:40.208449,2025-07-03 16:50:40.208452,4,18.34,Mock Data
CUST_0040,Maria,Smith,maria.smith@hotmail.com,+1-502-197-5805,Lead,Active,7696.47,Europe,2025-03-06 16:50:40.208514,2025-10-26 16:50:40.208517,8,1924.12,Mock Data
CUST_0041,Sarah,Garcia,sarah.garcia@outlook.com,+1-390-233-9364,Customer,Churned,562.04,Latin America,2024-10-02 16:50:40.208575,2025-07-24 16:50:40.208578,7,93.67,Mock Data
CUST_0042,Michael,Williams,michael.williams@yahoo.com,+1-575-893-5385,Sales Qualified Lead,Inactive,28.59,Europe,2024-06-10 16:50:40.208644,2025-09-12 16:50:40.208647,4,4.76,Mock Data
CUST_0043,Lisa,Rodriguez,lisa.rodriguez@hotmail.com,+1-988-895-4305,Customer,Inactive,2553.42,Latin America,2025-03-08 16:50:40.208706,2025-11-11 16:50:40.208709,7,851.14,Mock Data
CUST_0044,Lisa,Rodriguez,lisa.rodriguez@outlook.com,+1-344-154-7663,Sales Qualified Lead,Active,190.21,Europe,2025-05-28 16:50:40.208769,2025-07-11 16:50:40.208772,4,31.7,Mock Data
CUST_0045,Lisa,Miller,lisa.miller@outlook.com,+1-517-656-5101,Evangelist,Active,1233.04,Europe,2024-04-19 16:50:40.208831,2025-11-19 16:50:40.208835,6,246.61,Mock Data
CUST_0046,Jane,Rodriguez,jane.rodriguez@gmail.com,+1-553-429-8164,Lead,Active,1.8,Middle East & Africa,2024-10-06 16:50:40.208893,2025-08-15 16:50:40.208896,10,0.36,Mock Data
CUST_0047,Jane,Smith,jane.smith@yahoo.com,+1-875-640-1124,Customer,Active,538.25,Asia Pacific,2023-12-25 16:50:40.208954,2025-09-27 16:50:40.208957,7,67.28,Mock Data
CUST_0048,Robert,Smith,robert.smith@hotmail.com,+1-770-568-2509,Lead,Active,14.26,Europe,2024-07-12 16:50:40.209014,2025-11-24 16:50:40.209017,10,1.58,Mock Data
CUST_0049,Sarah,Garcia,sarah.garcia@company.com,+1-397-481-7514,Lead,Active,720.97,Europe,2024-09-02 16:50:40.209075,2025-12-05 16:50:40.209077,4,180.24,Mock Data
CUST_0050,Michael,Williams,michael.williams@company.com,+1-892-150-9646,Sales Qualified Lead,Active,19.87,Europe,2024-01-14 16:50:40.209138,2025-11-05 16:50:40.209141,5,3.97,Mock Data
CUST_0051,Maria,Davis,maria.davis@gmail.com,+1-803-840-5120,Sales Qualified Lead,Inactive,2842.41,North America,2025-06-05 16:50:40.209216,2025-10-08 16:50:40.209219,8,315.82,Mock Data
CUST_0052,John,Jones,john.jones@gmail.com,+1-953-629-1105,Lead,Prospect,7.6,Asia Pacific,2025-05-15 16:50:40.209276,2025-06-30 16:50:40.209280,6,7.6,Mock Data
CUST_0053,Maria,Williams,maria.williams@yahoo.com,+1-734-670-6233,Lead,Active,3.51,Europe,2024-09-07 16:50:40.209338,2025-12-06 16:50:40.209341,4,0.59,Mock Data
CUST_0054,Emma,Miller,emma.miller@gmail.com,+1-973-966-8387,Marketing Qualified Lead,Active,2.89,Latin America,2025-09-19 16:50:40.209399,2025-11-13 16:50:40.209402,7,1.44,Mock Data
