customer_id,first_name,last_name,email,phone,lifecycle_stage,customer_status,total_revenue,region,signup_date,last_purchase_date,total_orders,average_order_value,source
CUST_0001,Michael,Garcia,michael.garcia@company.com,+1-709-930-9754,Customer,Inactive,697.22,Asia Pacific,2023-12-17 16:50:40.600034,2025-10-22 16:50:40.600044,9,87.15,Mock Data
CUST_0002,Lisa,Martinez,lisa.martinez@company.com,+1-830-274-4231,Evangelist,Inactive,467.35,Europe,2025-01-07 16:50:40.600129,2025-07-14 16:50:40.600133,4,66.76,Mock Data
CUST_0003,Emma,Smith,emma.smith@outlook.com,+1-438-775-8024,Customer,Active,144.53,Middle East & Africa,2024-05-16 16:50:40.600203,2025-08-19 16:50:40.600206,5,16.06,Mock Data
CUST_0004,Chris,Johnson,chris.johnson@yahoo.com,+1-399-709-7663,Lead,Inactive,140.86,Latin America,2025-10-26 16:50:40.600266,2025-09-02 16:50:40.600269,8,23.48,Mock Data
CUST_0005,John,Miller,john.miller@company.com,+1-974-559-3511,Customer,Prospect,74.67,North America,2024-10-25 16:50:40.600327,2025-12-01 16:50:40.600329,7,10.67,Mock Data
CUST_0006,Robert,Miller,robert.miller@outlook.com,+1-700-807-1126,Lead,Active,2.23,Asia Pacific,2024-04-02 16:50:40.600386,2025-07-31 16:50:40.600389,4,0.56,Mock Data
CUST_0007,Robert,Martinez,robert.martinez@hotmail.com,+1-895-300-9538,Marketing Qualified Lead,Active,6.58,North America,2024-03-01 16:50:40.600447,2025-11-18 16:50:40.600450,7,1.1,Mock Data
CUST_0008,Robert,Martinez,robert.martinez@gmail.com,+1-855-258-1107,Sales Qualified Lead,Churned,17.85,Asia Pacific,2025-09-23 16:50:40.600507,2025-11-06 16:50:40.600510,4,3.57,Mock Data
CUST_0009,Maria,Jones,maria.jones@outlook.com,+1-735-684-7583,Customer,Prospect,306.07,Asia Pacific,2025-03-07 16:50:40.600566,2025-10-14 16:50:40.600569,5,61.21,Mock Data
CUST_0010,Emma,Johnson,emma.johnson@company.com,+1-992-831-4213,Sales Qualified Lead,Active,5.41,Asia Pacific,2024-11-16 16:50:40.600626,2025-12-09 16:50:40.600629,6,0.6,Mock Data
CUST_0011,David,Miller,david.miller@company.com,+1-345-123-4561,Sales Qualified Lead,Inactive,82.24,Asia Pacific,2024-11-17 16:50:40.600768,2025-09-27 16:50:40.600773,6,13.71,Mock Data
CUST_0012,David,Garcia,david.garcia@yahoo.com,+1-815-694-1566,Customer,Active,1271.67,Asia Pacific,2024-01-26 16:50:40.600947,2025-10-09 16:50:40.600955,6,158.96,Mock Data
CUST_0013,Lisa,Davis,lisa.davis@company.com,+1-849-279-4247,Lead,Active,4.85,Middle East & Africa,2025-02-18 16:50:40.601053,2025-08-08 16:50:40.601056,6,0.54,Mock Data
CUST_0014,Jane,Rodriguez,jane.rodriguez@yahoo.com,+1-971-606-7909,Marketing Qualified Lead,Active,34.63,Asia Pacific,2025-03-25 16:50:40.601125,2025-07-05 16:50:40.601128,1,4.33,Mock Data
CUST_0015,Lisa,Rodriguez,lisa.rodriguez@hotmail.com,+1-432-608-9081,Evangelist,Churned,1872.86,Europe,2025-03-12 16:50:40.601189,2025-07-28 16:50:40.601192,3,374.57,Mock Data
CUST_0016,Maria,Johnson,maria.johnson@gmail.com,+1-836-834-8204,Sales Qualified Lead,Active,115.3,North America,2024-07-14 16:50:40.601250,2025-06-14 16:50:40.601253,5,23.06,Mock Data
CUST_0017,Michael,Davis,michael.davis@hotmail.com,+1-304-557-2491,Evangelist,Active,1065.39,Middle East & Africa,2024-10-13 16:50:40.601310,2025-06-21 16:50:40.601313,6,96.85,Mock Data
CUST_0018,Michael,Davis,michael.davis@outlook.com,+1-767-832-9242,Lead,Inactive,77.16,Asia Pacific,2024-05-25 16:50:40.601370,2025-07-20 16:50:40.601373,4,19.29,Mock Data
CUST_0019,Chris,Davis,chris.davis@hotmail.com,+1-202-345-1868,Sales Qualified Lead,Inactive,32.78,Asia Pacific,2025-08-25 16:50:40.601429,2025-06-20 16:50:40.601432,5,5.46,Mock Data
CUST_0020,Jane,Johnson,jane.johnson@gmail.com,+1-549-395-8151,Marketing Qualified Lead,Prospect,33.04,North America,2025-06-26 16:50:40.601505,2025-08-26 16:50:40.601509,10,8.26,Mock Data
CUST_0021,Emma,Smith,emma.smith@hotmail.com,+1-278-706-9627,Marketing Qualified Lead,Active,604.67,Latin America,2024-04-22 16:50:40.601568,2025-09-11 16:50:40.601572,6,60.47,Mock Data
CUST_0022,Sarah,Garcia,sarah.garcia@company.com,+1-547-313-1618,Customer,Active,369.82,Latin America,2025-08-05 16:50:40.601630,2025-10-25 16:50:40.601633,6,73.96,Mock Data
CUST_0023,Emma,Brown,emma.brown@gmail.com,+1-589-738-7700,Customer,Churned,836.79,Middle East & Africa,2024-07-13 16:50:40.601690,2025-07-03 16:50:40.601693,3,92.98,Mock Data
CUST_0024,Robert,Brown,robert.brown@gmail.com,+1-775-206-1816,Customer,Active,3298.89,Asia Pacific,2024-09-12 16:50:40.601749,2025-10-06 16:50:40.601752,6,412.36,Mock Data
CUST_0025,John,Johnson,john.johnson@hotmail.com,+1-855-303-3482,Customer,Active,13.6,Asia Pacific,2025-04-16 16:50:40.601809,2025-10-15 16:50:40.601812,5,4.53,Mock Data
CUST_0026,John,Garcia,john.garcia@yahoo.com,+1-799-244-7537,Marketing Qualified Lead,Active,207.08,Europe,2024-08-23 16:50:40.601868,2025-10-02 16:50:40.601871,8,41.42,Mock Data
CUST_0027,Lisa,Garcia,lisa.garcia@outlook.com,+1-694-830-9992,Customer,Active,318.5,Middle East & Africa,2024-02-24 16:50:40.601928,2025-09-21 16:50:40.601931,11,53.08,Mock Data
CUST_0028,John,Smith,john.smith@company.com,+1-931-772-7955,Customer,Active,5228.52,Middle East & Africa,2024-02-15 16:50:40.601988,2025-10-22 16:50:40.601991,8,1307.13,Mock Data
CUST_0029,Lisa,Davis,lisa.davis@hotmail.com,+1-272-409-1243,Lead,Active,159.37,North America,2024-08-15 16:50:40.602047,2025-07-01 16:50:40.602050,7,26.56,Mock Data
CUST_0030,David,Martinez,david.martinez@yahoo.com,+1-756-608-3434,Marketing Qualified Lead,Churned,400.45,Asia Pacific,2024-06-10 16:50:40.602110,2025-08-13 16:50:40.602113,7,36.4,Mock Data
CUST_0031,Chris,Garcia,chris.garcia@hotmail.com,+1-762-980-4080,Lead,Inactive,4041.4,Asia Pacific,2024-03-28 16:50:40.602239,2025-08-02 16:50:40.602243,3,367.4,Mock Data
CUST_0032,David,Williams,david.williams@outlook.com,+1-591-729-1401,Lead,Prospect,187.01,North America,2025-11-06 16:50:40.602304,2025-08-01 16:50:40.602307,12,46.75,Mock Data
CUST_0033,John,Brown,john.brown@company.com,+1-706-942-1400,Marketing Qualified Lead,Active,99.65,Middle East & Africa,2025-08-31 16:50:40.602365,2025-06-25 16:50:40.602368,8,9.96,Mock Data
CUST_0034,Lisa,Garcia,lisa.garcia@gmail.com,+1-738-990-3534,Lead,Inactive,969.57,Latin America,2025-07-29 16:50:40.602427,2025-09-26 16:50:40.602429,2,138.51,Mock Data
CUST_0035,Chris,Rodriguez,chris.rodriguez@gmail.com,+1-293-148-7107,Marketing Qualified Lead,Inactive,3.7,Europe,2025-06-04 16:50:40.602497,2025-07-30 16:50:40.602500,6,0.46,Mock Data
CUST_0036,Maria,Miller,maria.miller@outlook.com,+1-450-790-7512,Sales Qualified Lead,Active,18.28,Latin America,2025-09-13 16:50:40.602561,2025-10-26 16:50:40.602564,6,9.14,Mock Data
CUST_0037,Lisa,Williams,lisa.williams@outlook.com,+1-765-601-5357,Marketing Qualified Lead,Active,17.82,North America,2024-11-19 16:50:40.602623,2025-08-28 16:50:40.602626,7,3.56,Mock Data
