customer_id,email,name,total_charges,charge_count,average_charge,currency,first_charge_date,last_charge_date,source
PAY_CUST_0001,customer1@example.com,Customer 1,94.36,3,70.64,USD,2025-04-16 16:50:49.715092,2025-11-17 16:50:49.715115,Mock Payment Data
PAY_CUST_0002,customer2@example.com,Customer 2,2681.78,4,22.32,USD,2025-09-22 16:50:49.715130,2025-11-23 16:50:49.715134,Mock Payment Data
PAY_CUST_0003,customer3@example.com,Customer 3,8.08,4,64.27,USD,2025-09-10 16:50:49.715142,2025-11-10 16:50:49.715145,Mock Payment Data
PAY_CUST_0004,customer4@example.com,Customer 4,181.21,4,27.1,USD,2025-03-24 16:50:49.715152,2025-11-13 16:50:49.715156,Mock Payment Data
PAY_CUST_0005,customer5@example.com,Customer 5,72.62,2,12.74,USD,2025-10-20 16:50:49.715163,2025-11-23 16:50:49.715166,Mock Payment Data
PAY_CUST_0006,customer6@example.com,Customer 6,16.37,5,83.12,USD,2025-02-10 16:50:49.715172,2025-12-08 16:50:49.715175,Mock Payment Data
PAY_CUST_0007,customer7@example.com,Customer 7,663.07,1,98.72,USD,2024-12-27 16:50:49.715182,2025-11-22 16:50:49.715185,Mock Payment Data
PAY_CUST_0008,customer8@example.com,Customer 8,54.16,7,26.89,USD,2025-08-14 16:50:49.715192,2025-12-03 16:50:49.715195,Mock Payment Data
PAY_CUST_0009,customer9@example.com,Customer 9,30.93,6,15.99,USD,2025-07-02 16:50:49.715201,2025-11-10 16:50:49.715204,Mock Payment Data
PAY_CUST_0010,customer10@example.com,Customer 10,490.28,5,83.33,USD,2025-03-09 16:50:49.715210,2025-11-18 16:50:49.715213,Mock Payment Data
PAY_CUST_0011,customer11@example.com,Customer 11,881.58,6,44.39,USD,2025-08-05 16:50:49.715220,2025-11-30 16:50:49.715222,Mock Payment Data
PAY_CUST_0012,customer12@example.com,Customer 12,1266.7,3,14.98,USD,2025-04-28 16:50:49.715229,2025-11-28 16:50:49.715231,Mock Payment Data
PAY_CUST_0013,customer13@example.com,Customer 13,127.88,3,43.25,USD,2025-07-25 16:50:49.715238,2025-12-03 16:50:49.715241,Mock Payment Data
PAY_CUST_0014,customer14@example.com,Customer 14,23.9,3,74.06,USD,2025-09-22 16:50:49.715247,2025-11-25 16:50:49.715250,Mock Payment Data
PAY_CUST_0015,customer15@example.com,Customer 15,163.82,5,33.82,USD,2025-10-30 16:50:49.715256,2025-12-02 16:50:49.715259,Mock Payment Data
PAY_CUST_0016,customer16@example.com,Customer 16,3193.37,4,17.08,USD,2024-12-23 16:50:49.715265,2025-11-30 16:50:49.715268,Mock Payment Data
PAY_CUST_0017,customer17@example.com,Customer 17,631.66,3,198.11,USD,2025-08-04 16:50:49.715274,2025-11-28 16:50:49.715277,Mock Payment Data
PAY_CUST_0018,customer18@example.com,Customer 18,730.07,4,16.61,USD,2024-12-15 16:50:49.715283,2025-12-03 16:50:49.715286,Mock Payment Data
PAY_CUST_0019,customer19@example.com,Customer 19,43.78,5,677.84,USD,2025-02-25 16:50:49.715292,2025-11-23 16:50:49.715295,Mock Payment Data
PAY_CUST_0020,customer20@example.com,Customer 20,497.19,5,40.15,USD,2025-09-28 16:50:49.715330,2025-12-04 16:50:49.715350,Mock Payment Data
PAY_CUST_0021,customer21@example.com,Customer 21,65.62,5,44.4,USD,2025-05-09 16:50:49.715366,2025-11-26 16:50:49.715370,Mock Payment Data
PAY_CUST_0022,customer22@example.com,Customer 22,155.17,2,9.26,USD,2025-07-28 16:50:49.715377,2025-11-22 16:50:49.715380,Mock Payment Data
PAY_CUST_0023,customer23@example.com,Customer 23,60.8,5,482.25,USD,2025-09-01 16:50:49.715387,2025-12-08 16:50:49.715389,Mock Payment Data
PAY_CUST_0024,customer24@example.com,Customer 24,10.93,5,5.7,USD,2025-05-02 16:50:49.715396,2025-11-18 16:50:49.715399,Mock Payment Data
PAY_CUST_0025,customer25@example.com,Customer 25,124.77,2,41.09,USD,2025-10-30 16:50:49.715405,2025-11-19 16:50:49.715408,Mock Payment Data
