id,username,email,first_name,last_name,role,is_active,created_at,last_login,source
user_1,user1,user1@example.com,Jane,Smith,user,False,2025-01-20T11:09:55.480415,,MOCK_DATA
user_2,user2,user2@example.com,Sarah,Williams,moderator,True,2025-02-12T11:09:55.480424,2025-11-25T11:09:55.480427,MOCK_DATA
user_3,user3,user3@example.com,James,Miller,moderator,True,2025-01-14T11:09:55.480432,,MOCK_DATA
user_4,user4,user4@example.com,Emma,Johnson,moderator,True,2025-09-06T11:09:55.480436,,MOCK_DATA
user_5,user5,user5@example.com,David,Williams,user,True,2025-06-28T11:09:55.480440,2025-11-12T11:09:55.480442,MOCK_DATA
user_6,user6,user6@example.com,Sarah,Johnson,moderator,True,2025-01-12T11:09:55.480446,,MOCK_DATA
user_7,user7,user7@example.com,Michael,Garcia,moderator,False,2025-06-15T11:09:55.480450,2025-11-13T11:09:55.480452,MOCK_DATA
user_8,user8,user8@example.com,Jane,Smith,admin,True,2025-04-16T11:09:55.480455,,MOCK_DATA
user_9,user9,user9@example.com,John,Davis,user,True,2025-06-15T11:09:55.480459,,MOCK_DATA
user_10,user10,user10@example.com,Lisa,Davis,moderator,True,2025-09-28T11:09:55.480464,,MOCK_DATA
user_11,user11,user11@example.com,Michael,Johnson,api_client,False,2025-04-10T11:09:55.480467,,MOCK_DATA
user_12,user12,user12@example.com,Sarah,Garcia,admin,True,2025-11-22T11:09:55.480471,,MOCK_DATA
user_13,user13,user13@example.com,Lisa,Smith,admin,False,2025-08-01T11:09:55.480475,2025-11-27T11:09:55.480477,MOCK_DATA
user_14,user14,user14@example.com,Emma,Miller,admin,False,2025-05-09T11:09:55.480480,,MOCK_DATA
user_15,user15,user15@example.com,Lisa,Jones,user,False,2025-05-19T11:09:55.480484,,MOCK_DATA
user_16,user16,user16@example.com,David,Williams,user,False,2025-04-20T11:09:55.480488,2025-12-02T11:09:55.480490,MOCK_DATA
user_17,user17,user17@example.com,John,Williams,user,True,2025-02-12T11:09:55.480493,2025-12-04T11:09:55.480495,MOCK_DATA
user_18,user18,user18@example.com,James,Brown,api_client,True,2025-06-17T11:09:55.480499,,MOCK_DATA
user_19,user19,user19@example.com,Lisa,Williams,admin,False,2025-09-07T11:09:55.480502,,MOCK_DATA
user_20,user20,user20@example.com,Michael,Williams,admin,False,2025-03-17T11:09:55.480508,,MOCK_DATA
user_21,user21,user21@example.com,David,Davis,moderator,True,2024-12-15T11:09:55.480512,2025-12-10T11:09:55.480514,MOCK_DATA
user_22,user22,user22@example.com,Lisa,Davis,api_client,True,2025-07-22T11:09:55.480518,2025-11-10T11:09:55.480521,MOCK_DATA
user_23,user23,user23@example.com,Lisa,Miller,api_client,True,2025-11-08T11:09:55.480526,,MOCK_DATA
user_24,user24,user24@example.com,Michael,Garcia,admin,True,2025-01-30T11:09:55.480531,2025-12-03T11:09:55.480533,MOCK_DATA
user_25,user25,user25@example.com,Michael,Jones,moderator,True,2025-10-27T11:09:55.480536,,MOCK_DATA
