member_id,email,status,signup_date,last_activity,open_rate,click_rate,emails_received,emails_opened,emails_clicked,source
MEMBER_0001,member1@example.com,subscribed,2025-07-11 16:50:49.741842,2025-09-29 16:50:49.741876,0.6346592031999949,0.07120936049696852,13,5,2,Mock Email Data
MEMBER_0002,member2@example.com,subscribed,2025-03-18 16:50:49.742178,2025-11-11 16:50:49.742196,0.2552475787342898,0.028654475956606258,16,6,3,Mock Email Data
MEMBER_0003,member3@example.com,cleaned,2025-01-26 16:50:49.742319,2025-10-07 16:50:49.742328,0.6879614363075893,0.04367180060907637,21,3,3,Mock Email Data
MEMBER_0004,member4@example.com,subscribed,2025-09-30 16:50:49.742360,2025-09-22 16:50:49.742364,0.3009570348091428,0.020707210920751153,14,7,3,Mock Email Data
MEMBER_0005,member5@example.com,unsubscribed,2025-09-19 16:50:49.742386,2025-10-29 16:50:49.742389,0.6584699109695762,0.12318998474319538,12,3,0,Mock Email Data
MEMBER_0006,member6@example.com,subscribed,2025-09-23 16:50:49.742410,2025-11-28 16:50:49.742413,0.3970260599257195,0.09624692643377489,14,5,2,Mock Email Data
MEMBER_0007,member7@example.com,subscribed,2025-02-14 16:50:49.742433,2025-09-29 16:50:49.742439,0.5677467463914967,0.010897824704286865,10,3,1,Mock Email Data
MEMBER_0008,member8@example.com,cleaned,2025-05-02 16:50:49.742458,2025-12-02 16:50:49.742461,0.3097433099369205,0.15141749615736022,9,5,1,Mock Email Data
MEMBER_0009,member9@example.com,subscribed,2025-01-18 16:50:49.742480,2025-11-27 16:50:49.742483,0.21252487831589806,0.19588769774744016,12,4,3,Mock Email Data
MEMBER_0010,member10@example.com,subscribed,2025-07-19 16:50:49.742502,2025-11-23 16:50:49.742505,0.792777529943116,0.04491264328529477,11,4,0,Mock Email Data
MEMBER_0011,member11@example.com,subscribed,2024-12-16 16:50:49.742521,2025-09-24 16:50:49.742524,0.16973679578987003,0.22090683958847085,11,5,3,Mock Email Data
MEMBER_0012,member12@example.com,subscribed,2025-06-28 16:50:49.742540,2025-11-24 16:50:49.742543,0.8388563264725156,0.23892793243845128,12,7,4,Mock Email Data
MEMBER_0013,member13@example.com,subscribed,2025-04-09 16:50:49.742559,2025-11-23 16:50:49.742562,0.7564505180648735,0.06227998976680743,17,7,1,Mock Email Data
MEMBER_0014,member14@example.com,subscribed,2025-06-17 16:50:49.742577,2025-10-04 16:50:49.742580,0.6235651674044619,0.14421819425265278,11,8,3,Mock Email Data
MEMBER_0015,member15@example.com,subscribed,2025-01-12 16:50:49.742595,2025-09-21 16:50:49.742598,0.026308120012901896,0.200664287868854,12,4,2,Mock Email Data
MEMBER_0016,member16@example.com,unsubscribed,2025-09-14 16:50:49.742614,2025-10-15 16:50:49.742617,0.47825653805656626,0.039357397110646536,10,5,0,Mock Email Data
MEMBER_0017,member17@example.com,subscribed,2025-07-08 16:50:49.742632,2025-10-02 16:50:49.742635,0.2478307924385294,0.026495848602613562,12,1,1,Mock Email Data
MEMBER_0018,member18@example.com,unsubscribed,2025-05-19 16:50:49.742651,2025-09-30 16:50:49.742654,0.23343020310683862,0.21423208069495187,10,2,1,Mock Email Data
MEMBER_0019,member19@example.com,subscribed,2025-05-18 16:50:49.742670,2025-11-13 16:50:49.742672,0.6027322725162315,0.2780621385139154,8,5,3,Mock Email Data
MEMBER_0020,member20@example.com,cleaned,2025-08-17 16:50:49.742688,2025-12-09 16:50:49.742691,0.12143120281081891,0.26924188810507504,15,4,1,Mock Email Data
MEMBER_0021,member21@example.com,subscribed,2025-10-30 16:50:49.742707,2025-10-25 16:50:49.742710,0.1911237412164898,0.052349564245408674,16,4,0,Mock Email Data
MEMBER_0022,member22@example.com,unsubscribed,2025-10-15 16:50:49.742725,2025-11-28 16:50:49.742728,0.3178141097091896,0.21147998157298778,13,5,2,Mock Email Data
MEMBER_0023,member23@example.com,subscribed,2025-02-02 16:50:49.742744,2025-11-12 16:50:49.742747,0.49329832249593375,0.2753485257184698,11,3,4,Mock Email Data
MEMBER_0024,member24@example.com,unsubscribed,2025-06-08 16:50:49.742763,2025-12-04 16:50:49.742765,0.253201834943853,0.32048599047372217,16,4,1,Mock Email Data
MEMBER_0025,member25@example.com,unsubscribed,2025-03-18 16:50:49.742781,2025-10-10 16:50:49.742784,0.3132133146193416,0.1825360240224201,17,2,1,Mock Email Data
MEMBER_0026,member26@example.com,subscribed,2025-01-02 16:50:49.742800,2025-11-14 16:50:49.742802,0.3121893624470877,0.002032081838184643,15,12,6,Mock Email Data
MEMBER_0027,member27@example.com,subscribed,2025-07-08 16:50:49.742818,2025-09-22 16:50:49.742821,0.6859856418037231,0.030917088371229855,4,4,1,Mock Email Data
MEMBER_0028,member28@example.com,subscribed,2025-09-06 16:50:49.742837,2025-11-28 16:50:49.742840,0.8858137382834227,0.43145796359320354,4,6,4,Mock Email Data
MEMBER_0029,member29@example.com,subscribed,2025-03-18 16:50:49.742856,2025-09-23 16:50:49.742858,0.1042581750107903,0.003604375534855414,5,10,2,Mock Email Data
MEMBER_0030,member30@example.com,subscribed,2025-09-29 16:50:49.742874,2025-10-23 16:50:49.742877,0.47004689897932755,0.3265477604978761,13,7,4,Mock Email Data
MEMBER_0031,member31@example.com,subscribed,2025-09-24 16:50:49.742893,2025-10-03 16:50:49.742896,0.44671331735893177,0.3107469028283099,13,2,0,Mock Email Data
MEMBER_0032,member32@example.com,subscribed,2025-06-22 16:50:49.742911,2025-10-12 16:50:49.742914,0.2835625428557533,0.12829952449088747,16,3,1,Mock Email Data
MEMBER_0033,member33@example.com,subscribed,2025-08-31 16:50:49.742930,2025-11-13 16:50:49.742933,0.43585741125652455,0.23326508996132855,12,2,1,Mock Email Data
MEMBER_0034,member34@example.com,subscribed,2024-12-30 16:50:49.742948,2025-09-15 16:50:49.742951,0.2729797112379973,0.13164470221840824,12,6,5,Mock Email Data
MEMBER_0035,member35@example.com,subscribed,2025-06-21 16:50:49.742967,2025-11-13 16:50:49.742970,0.5627971709923555,0.18448834644151557,8,6,4,Mock Email Data
MEMBER_0036,member36@example.com,subscribed,2025-01-07 16:50:49.742985,2025-11-18 16:50:49.742988,0.2898651684316235,0.11485541003484401,15,6,2,Mock Email Data
MEMBER_0037,member37@example.com,subscribed,2025-07-28 16:50:49.743019,2025-12-07 16:50:49.743023,0.09982692032453072,0.02726328457230434,19,5,3,Mock Email Data
MEMBER_0038,member38@example.com,unsubscribed,2025-05-11 16:50:49.743041,2025-11-14 16:50:49.743046,0.46386547446508997,0.06644685756068296,7,4,1,Mock Email Data
MEMBER_0039,member39@example.com,unsubscribed,2025-07-13 16:50:49.743078,2025-11-28 16:50:49.743081,0.5315336783736954,0.022076763525615762,13,4,2,Mock Email Data
MEMBER_0040,member40@example.com,subscribed,2025-07-10 16:50:49.743097,2025-11-10 16:50:49.743099,0.7754072532533522,0.006606978434345126,3,6,3,Mock Email Data
MEMBER_0041,member41@example.com,subscribed,2025-03-06 16:50:49.743115,2025-09-25 16:50:49.743118,0.20178688047032098,0.13913130235038612,6,8,1,Mock Email Data
MEMBER_0042,member42@example.com,subscribed,2025-05-22 16:50:49.743134,2025-09-23 16:50:49.743137,0.15945482843444553,0.061866178127681644,10,7,1,Mock Email Data
MEMBER_0043,member43@example.com,subscribed,2025-05-31 16:50:49.743152,2025-09-17 16:50:49.743155,0.8322991054321235,0.14751351115643732,11,5,2,Mock Email Data
MEMBER_0044,member44@example.com,unsubscribed,2025-07-11 16:50:49.743171,2025-10-19 16:50:49.743173,0.2875507665935423,0.1633291870495823,8,7,1,Mock Email Data
MEMBER_0045,member45@example.com,subscribed,2025-05-11 16:50:49.743190,2025-09-14 16:50:49.743192,0.14498702940040814,0.5450145191474033,14,1,2,Mock Email Data
MEMBER_0046,member46@example.com,subscribed,2025-04-09 16:50:49.743208,2025-10-09 16:50:49.743210,0.6951645076409075,0.16178713435114123,8,9,3,Mock Email Data
MEMBER_0047,member47@example.com,unsubscribed,2025-04-16 16:50:49.743226,2025-11-04 16:50:49.743229,0.41057160693510186,0.0650291199983696,9,5,2,Mock Email Data
MEMBER_0048,member48@example.com,subscribed,2025-01-04 16:50:49.743244,2025-10-12 16:50:49.743247,0.462994192276538,0.18633773308834306,9,7,4,Mock Email Data
MEMBER_0049,member49@example.com,subscribed,2025-01-13 16:50:49.743263,2025-11-19 16:50:49.743266,0.2708776612655186,0.028100462212261184,5,5,0,Mock Email Data
MEMBER_0050,member50@example.com,subscribed,2025-06-11 16:50:49.743283,2025-09-13 16:50:49.743285,0.7602139948280451,0.013018360646381648,12,4,2,Mock Email Data
MEMBER_0051,member51@example.com,subscribed,2025-03-22 16:50:49.743301,2025-09-21 16:50:49.743304,0.20903985717566698,0.49449882785111926,19,2,2,Mock Email Data
MEMBER_0052,member52@example.com,unsubscribed,2025-01-04 16:50:49.743320,2025-09-11 16:50:49.743323,0.22083977293350127,0.19307355379502825,14,4,3,Mock Email Data
MEMBER_0053,member53@example.com,subscribed,2025-05-17 16:50:49.743339,2025-11-15 16:50:49.743341,0.7733041299470852,0.12865918806566826,11,1,0,Mock Email Data
MEMBER_0054,member54@example.com,subscribed,2025-09-04 16:50:49.743357,2025-09-25 16:50:49.743360,0.5627235649778067,0.04509003803195722,11,1,0,Mock Email Data
MEMBER_0055,member55@example.com,unsubscribed,2025-02-05 16:50:49.743376,2025-09-23 16:50:49.743379,0.6602896922231349,0.10264337582396946,7,1,1,Mock Email Data
MEMBER_0056,member56@example.com,unsubscribed,2025-06-28 16:50:49.743394,2025-09-15 16:50:49.743397,0.5290791171633996,0.14192382154730934,9,7,2,Mock Email Data
MEMBER_0057,member57@example.com,unsubscribed,2025-05-03 16:50:49.743414,2025-10-03 16:50:49.743417,0.45129092128808823,0.6642375170995946,14,10,3,Mock Email Data
MEMBER_0058,member58@example.com,subscribed,2025-05-24 16:50:49.743445,2025-12-07 16:50:49.743449,0.5849464431368366,0.1152162258001138,9,7,2,Mock Email Data
MEMBER_0059,member59@example.com,unsubscribed,2025-10-04 16:50:49.743469,2025-09-17 16:50:49.743472,0.33037246889930505,0.10900277583767139,11,9,4,Mock Email Data
MEMBER_0060,member60@example.com,subscribed,2025-04-30 16:50:49.743488,2025-10-17 16:50:49.743491,0.3771412590552545,0.09242704389031854,12,11,0,Mock Email Data
MEMBER_0061,member61@example.com,subscribed,2025-06-05 16:50:49.743507,2025-11-20 16:50:49.743510,0.5530738521974273,0.16344447454640804,9,4,3,Mock Email Data
MEMBER_0062,member62@example.com,subscribed,2025-02-24 16:50:49.743526,2025-11-12 16:50:49.743529,0.5891336952114715,0.09469648164548876,17,9,4,Mock Email Data
MEMBER_0063,member63@example.com,subscribed,2025-07-13 16:50:49.743544,2025-12-03 16:50:49.743547,0.299066270344911,0.25997227071987117,9,4,4,Mock Email Data
MEMBER_0064,member64@example.com,subscribed,2025-04-02 16:50:49.743563,2025-09-11 16:50:49.743566,0.08170813446970959,0.5492605101005745,6,7,2,Mock Email Data
MEMBER_0065,member65@example.com,subscribed,2025-09-26 16:50:49.743581,2025-09-15 16:50:49.743584,0.3853811293735606,0.13623841540886988,7,6,1,Mock Email Data
MEMBER_0066,member66@example.com,unsubscribed,2025-07-17 16:50:49.743600,2025-09-30 16:50:49.743603,0.23263435081088477,0.17223677203921856,8,6,2,Mock Email Data
MEMBER_0067,member67@example.com,subscribed,2025-04-07 16:50:49.743618,2025-12-01 16:50:49.743621,0.29846065912045927,0.08789202088695676,7,7,2,Mock Email Data
MEMBER_0068,member68@example.com,subscribed,2025-03-09 16:50:49.743637,2025-10-19 16:50:49.743640,0.7738252000726806,0.08614843834289168,10,2,2,Mock Email Data
MEMBER_0069,member69@example.com,subscribed,2025-03-13 16:50:49.743655,2025-09-28 16:50:49.743658,0.26184841439948514,0.31548431653658543,8,1,0,Mock Email Data
MEMBER_0070,member70@example.com,subscribed,2025-07-24 16:50:49.743674,2025-10-02 16:50:49.743677,0.282658930575835,0.3764914648568519,12,5,2,Mock Email Data
MEMBER_0071,member71@example.com,unsubscribed,2025-05-07 16:50:49.743692,2025-10-01 16:50:49.743695,0.22504869160610355,0.012499083068454904,14,5,5,Mock Email Data
MEMBER_0072,member72@example.com,subscribed,2025-10-03 16:50:49.743711,2025-12-01 16:50:49.743713,0.3477361339161248,0.20881345058118772,7,2,4,Mock Email Data
MEMBER_0073,member73@example.com,subscribed,2025-04-16 16:50:49.743729,2025-10-16 16:50:49.743732,0.13216328398606575,0.29960702379426085,11,2,2,Mock Email Data
MEMBER_0074,member74@example.com,subscribed,2025-10-11 16:50:49.743747,2025-10-20 16:50:49.743749,0.4326246537999016,0.07419753478221443,12,3,6,Mock Email Data
MEMBER_0075,member75@example.com,subscribed,2025-09-22 16:50:49.743765,2025-09-16 16:50:49.743768,0.37524789513985,0.12770409051909498,10,7,2,Mock Email Data
MEMBER_0076,member76@example.com,subscribed,2025-06-15 16:50:49.743784,2025-11-17 16:50:49.743787,0.3889665143242191,0.07526792698815299,8,5,1,Mock Email Data
MEMBER_0077,member77@example.com,subscribed,2025-11-08 16:50:49.743803,2025-10-08 16:50:49.743806,0.3987983719391767,0.09364668294524987,11,4,2,Mock Email Data
MEMBER_0078,member78@example.com,subscribed,2025-03-13 16:50:49.743823,2025-11-03 16:50:49.743826,0.09758372102284646,0.019252461145739974,14,4,0,Mock Email Data
MEMBER_0079,member79@example.com,subscribed,2025-03-31 16:50:49.743841,2025-12-09 16:50:49.743844,0.7399333701405337,0.32303370678820603,15,3,1,Mock Email Data
MEMBER_0080,member80@example.com,unsubscribed,2025-05-08 16:50:49.743860,2025-09-22 16:50:49.743863,0.3173149694691361,0.015104080166484624,14,5,2,Mock Email Data
MEMBER_0081,member81@example.com,cleaned,2024-12-17 16:50:49.743878,2025-10-21 16:50:49.743881,0.13235169175990658,0.28451620298582614,12,4,1,Mock Email Data
MEMBER_0082,member82@example.com,subscribed,2025-06-11 16:50:49.743897,2025-09-30 16:50:49.743900,0.7204045326551495,0.29902154587884316,12,7,2,Mock Email Data
MEMBER_0083,member83@example.com,unsubscribed,2025-06-13 16:50:49.743915,2025-10-11 16:50:49.743918,0.3035737779513868,0.0009712444894475528,16,10,4,Mock Email Data
MEMBER_0084,member84@example.com,unsubscribed,2025-09-02 16:50:49.743933,2025-10-01 16:50:49.743936,0.5659719491942874,0.3065211618908823,15,6,2,Mock Email Data
MEMBER_0085,member85@example.com,subscribed,2024-12-24 16:50:49.743952,2025-09-28 16:50:49.743955,0.23964199710673384,0.2647057255230747,12,4,3,Mock Email Data
MEMBER_0086,member86@example.com,subscribed,2025-05-30 16:50:49.743971,2025-09-16 16:50:49.743974,0.4812435812654959,0.05752987788657509,14,0,1,Mock Email Data
MEMBER_0087,member87@example.com,subscribed,2025-02-14 16:50:49.743989,2025-11-06 16:50:49.743992,0.3700091648915305,0.29776323091652585,16,5,2,Mock Email Data
MEMBER_0088,member88@example.com,subscribed,2025-06-22 16:50:49.744007,2025-09-11 16:50:49.744010,0.12392936563743163,0.19140317135503546,8,10,1,Mock Email Data
MEMBER_0089,member89@example.com,subscribed,2025-05-22 16:50:49.744025,2025-10-19 16:50:49.744028,0.1106668322721308,0.08372081870129428,14,7,2,Mock Email Data
MEMBER_0090,member90@example.com,subscribed,2025-03-22 16:50:49.744044,2025-10-30 16:50:49.744047,0.022055763975909325,0.10479624119186871,15,6,4,Mock Email Data
MEMBER_0091,member91@example.com,subscribed,2025-07-05 16:50:49.744062,2025-12-01 16:50:49.744065,0.5522714316114099,0.4409209054523587,7,7,2,Mock Email Data
MEMBER_0092,member92@example.com,subscribed,2025-02-11 16:50:49.744080,2025-11-24 16:50:49.744083,0.16093703190044226,0.232165608936617,5,4,4,Mock Email Data
MEMBER_0093,member93@example.com,subscribed,2025-10-04 16:50:49.744099,2025-10-29 16:50:49.744101,0.3442203371091889,0.040281456347192546,11,4,4,Mock Email Data
MEMBER_0094,member94@example.com,subscribed,2025-06-10 16:50:49.744117,2025-11-03 16:50:49.744120,0.7858647912021272,0.23710088546428473,17,3,3,Mock Email Data
MEMBER_0095,member95@example.com,subscribed,2025-06-23 16:50:49.744136,2025-11-12 16:50:49.744138,0.19582307743077038,0.12498361848005059,12,5,3,Mock Email Data
MEMBER_0096,member96@example.com,subscribed,2025-03-14 16:50:49.744154,2025-09-23 16:50:49.744157,0.36110089241438786,0.04220604166820558,8,0,1,Mock Email Data
MEMBER_0097,member97@example.com,subscribed,2025-08-08 16:50:49.744172,2025-11-25 16:50:49.744175,0.9418609332297605,0.18750450846211314,11,6,1,Mock Email Data
MEMBER_0098,member98@example.com,cleaned,2025-09-04 16:50:49.744190,2025-12-05 16:50:49.744193,0.5358902548220801,0.07333013135222276,16,6,1,Mock Email Data
MEMBER_0099,member99@example.com,subscribed,2024-12-23 16:50:49.744208,2025-10-24 16:50:49.744211,0.49390506328010164,0.05674986825142449,8,2,2,Mock Email Data
MEMBER_0100,member100@example.com,subscribed,2025-04-05 16:50:49.744227,2025-10-29 16:50:49.744229,0.5009863108692321,0.06303501830068518,14,4,4,Mock Email Data
MEMBER_0101,member101@example.com,subscribed,2025-05-18 16:50:49.744245,2025-10-21 16:50:49.744248,0.49705867576994894,0.01568415226659237,5,2,2,Mock Email Data
MEMBER_0102,member102@example.com,subscribed,2025-04-05 16:50:49.744264,2025-11-26 16:50:49.744266,0.29160686843530786,0.003377038099136087,6,5,3,Mock Email Data
MEMBER_0103,member103@example.com,subscribed,2025-04-13 16:50:49.744282,2025-10-24 16:50:49.744285,0.7303546357312288,0.05815948354717177,12,5,3,Mock Email Data
MEMBER_0104,member104@example.com,subscribed,2025-06-01 16:50:49.744300,2025-12-05 16:50:49.744303,0.47583585774459863,0.02730389121166458,5,5,2,Mock Email Data
MEMBER_0105,member105@example.com,unsubscribed,2024-12-20 16:50:49.744319,2025-10-17 16:50:49.744321,0.18936142270287218,0.14981564044678167,6,3,2,Mock Email Data
MEMBER_0106,member106@example.com,subscribed,2025-03-11 16:50:49.744337,2025-11-25 16:50:49.744340,0.8697909678046609,0.08814746287751643,7,3,4,Mock Email Data
MEMBER_0107,member107@example.com,subscribed,2025-09-06 16:50:49.744355,2025-10-17 16:50:49.744358,0.16659395786909534,0.18452958991784452,11,5,3,Mock Email Data
MEMBER_0108,member108@example.com,subscribed,2024-12-20 16:50:49.744374,2025-10-10 16:50:49.744376,0.49949301429057164,0.019096127271764598,11,6,1,Mock Email Data
MEMBER_0109,member109@example.com,unsubscribed,2025-04-29 16:50:49.744392,2025-11-06 16:50:49.744395,0.7083812088199273,0.42938236457565676,12,4,1,Mock Email Data
MEMBER_0110,member110@example.com,subscribed,2025-05-08 16:50:49.744411,2025-10-02 16:50:49.744414,0.5240887940852507,0.3132651435988655,8,5,2,Mock Email Data
MEMBER_0111,member111@example.com,subscribed,2025-01-26 16:50:49.744429,2025-09-30 16:50:49.744432,0.5128919693548577,0.1496963467294356,12,7,1,Mock Email Data
MEMBER_0112,member112@example.com,unsubscribed,2024-12-29 16:50:49.744447,2025-09-25 16:50:49.744450,0.14993833061413803,0.47479959312123293,10,8,1,Mock Email Data
MEMBER_0113,member113@example.com,subscribed,2024-12-29 16:50:49.744466,2025-11-10 16:50:49.744469,0.40612174937595374,0.03492187723104069,12,5,2,Mock Email Data
MEMBER_0114,member114@example.com,subscribed,2025-01-20 16:50:49.744484,2025-11-05 16:50:49.744487,0.09289522474770362,0.08214340065611912,15,4,1,Mock Email Data
MEMBER_0115,member115@example.com,subscribed,2025-06-13 16:50:49.744502,2025-11-11 16:50:49.744505,0.7456065265256542,0.43497083862471503,12,4,2,Mock Email Data
MEMBER_0116,member116@example.com,subscribed,2025-03-27 16:50:49.744520,2025-11-27 16:50:49.744523,0.469116568193953,0.02625807347530886,11,5,1,Mock Email Data
MEMBER_0117,member117@example.com,cleaned,2024-12-25 16:50:49.744539,2025-12-07 16:50:49.744541,0.7473636893984458,0.39630613490488686,4,7,4,Mock Email Data
MEMBER_0118,member118@example.com,subscribed,2025-08-24 16:50:49.744557,2025-10-25 16:50:49.744560,0.5933162393838458,0.08750368525187657,13,4,2,Mock Email Data
MEMBER_0119,member119@example.com,subscribed,2025-08-19 16:50:49.744575,2025-11-10 16:50:49.744578,0.2352322105087697,0.14211242571248367,8,4,3,Mock Email Data
MEMBER_0120,member120@example.com,subscribed,2025-06-26 16:50:49.744594,2025-10-28 16:50:49.744596,0.3585738425459849,0.04109412133258608,15,4,1,Mock Email Data
MEMBER_0121,member121@example.com,subscribed,2024-12-12 16:50:49.744612,2025-10-24 16:50:49.744615,0.08603242107842285,0.3714952122387383,11,4,4,Mock Email Data
MEMBER_0122,member122@example.com,subscribed,2025-01-25 16:50:49.744630,2025-09-23 16:50:49.744633,0.3018136561912726,0.018645068606790088,7,3,1,Mock Email Data
MEMBER_0123,member123@example.com,subscribed,2025-10-28 16:50:49.744649,2025-10-23 16:50:49.744652,0.5885762252830347,0.0900432319313243,9,2,0,Mock Email Data
MEMBER_0124,member124@example.com,cleaned,2025-01-13 16:50:49.744667,2025-10-14 16:50:49.744670,0.16622112456232577,0.2818625524275019,9,2,2,Mock Email Data
MEMBER_0125,member125@example.com,subscribed,2025-04-02 16:50:49.744685,2025-12-07 16:50:49.744688,0.32063653740585163,0.09962031817068882,6,5,5,Mock Email Data
MEMBER_0126,member126@example.com,unsubscribed,2025-04-16 16:50:49.744703,2025-11-08 16:50:49.744706,0.5593615221837328,0.3791853587051972,13,4,2,Mock Email Data
MEMBER_0127,member127@example.com,subscribed,2025-07-18 16:50:49.744721,2025-11-18 16:50:49.744724,0.31321034980624624,0.027475956709296773,6,3,0,Mock Email Data
MEMBER_0128,member128@example.com,subscribed,2025-01-23 16:50:49.744739,2025-12-02 16:50:49.744742,0.6398924483882736,0.3647588195474703,17,7,0,Mock Email Data
MEMBER_0129,member129@example.com,subscribed,2025-04-07 16:50:49.744758,2025-09-23 16:50:49.744761,0.5470539895650811,0.037819525173346996,10,3,3,Mock Email Data
MEMBER_0130,member130@example.com,subscribed,2025-03-15 16:50:49.744777,2025-10-10 16:50:49.744779,0.29929926487632946,0.013155423574137176,15,7,3,Mock Email Data
MEMBER_0131,member131@example.com,subscribed,2025-03-02 16:50:49.744795,2025-11-21 16:50:49.744798,0.4299567632066177,0.041691798924589255,12,4,2,Mock Email Data
MEMBER_0132,member132@example.com,subscribed,2025-11-08 16:50:49.744813,2025-10-24 16:50:49.744816,0.3342164628472243,0.3395185377214927,14,3,2,Mock Email Data
MEMBER_0133,member133@example.com,subscribed,2025-08-25 16:50:49.744832,2025-11-23 16:50:49.744835,0.43927315479622153,0.2945043255967366,8,7,5,Mock Email Data
MEMBER_0134,member134@example.com,subscribed,2025-01-04 16:50:49.744850,2025-11-26 16:50:49.744853,0.35905146212269756,0.11748899163961578,10,6,4,Mock Email Data
MEMBER_0135,member135@example.com,subscribed,2025-05-01 16:50:49.744868,2025-12-07 16:50:49.744871,0.3051776466705722,0.3437105362758536,8,7,1,Mock Email Data
MEMBER_0136,member136@example.com,subscribed,2025-10-26 16:50:49.744886,2025-10-25 16:50:49.744889,0.9004691156267107,0.38600438593486947,6,6,4,Mock Email Data
